C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
W,W,W,W,,,,,,,,,,,,,,,,,W,W,W,W,W,W
W,W,W,W,,,,,,,,,,,,,,,,,W,W,W,W,W,W
W,W,W,W,,,,,,,,,,,,,,,,,W,W,W,W,W,W
W,W,W,W,,,,,,,,,,,,,,,,,W,W,W,W,W,W
W,P2,P1,P3,P2,OTL,W,W,W,W,W,W,P2,P3,P1,P2,P3,P1,P1,OTL,W,W,W,W,W,W
W,,,,,OML,W,W,W,W,W,W,,,,,,,,OML,W,W,W,W,W,W
W,,,,,OML,W,W,W,W,W,W,,,,,,,,OML,W,W,W,W,W,W
W,,,,,OML,W,W,W,W,W,W,,,,,,,,OML,W,W,W,W,W,W
W,,,,,OBL,W,W,W,W,W,W,,,,,,,,OBL,W,W,W,W,W,W
W,,,OTL,W,W,W,W,P2,P3,P2,P1,P1,P2,P3,P1,OTL,P2,P3,P2,P1,P2,P3,P3,P1,W
W,,,OML,W,W,W,W,,,,,,,,,OML,,,,,,,,,W
W,,,OML,W,W,W,W,,,,,,,,,OML,,,,,,,,,W
W,,,OML,W,W,W,W,,,,,,,,,OML,,,,,,,,,W
W,,,OBL,W,W,W,W,,,,,,,,,OBL,,,,,,,,,W
W,OTL,P2,P1,P3,P2,P1,W,W,W,W,OTL,P2,P3,P2,P2,W,W,W,P1,P3,P1,P2,P1,P3,W
W,OML,,,,,,W,W,W,W,OML,,,,,W,W,W,,,,,,,W
W,OML,,,,,,W,W,W,W,OML,,,,,W,W,W,,,,,,,W
W,OML,,,,,,W,W,W,W,OML,,,,,W,W,W,,,,,,,W
W,OBL,,,,,,W,W,W,W,OBL,,,,,W,W,W,,M:11,,,,,W
W,P2,P3,P2,P1,P3,OTL,P2,P3,P1,W,W,W,W,W,OTL,P2,P3,P1,P1,P2,P3,OTL,P2,P3,W
W,,,,,,OML,,,,W,W,W,W,W,OML,,,,,,,OML,,,W
W,,,,,,OML,,,,W,W,W,W,W,OML,,,,,,,OML,,,W
W,,,,,,OML,,,,W,W,W,W,W,OML,,,,,,,OML,,,W
W,,,,,,OBL,,M:12,,W,W,W,W,W,OBL,,,,,,,OBL,,,W
W,P1,P2,P1,P3,P2,P1,P3,P1,P2,P3,P2,P3,P1,P2,P3,P1,P2,P2,P3,OTL,W,W,W,W,W
W,,,,,,,,,,,,,,,,,TPTL,,,OML,W,W,W,W,W
W,,,,,,,,,,,,,,,,,MPTL,,,OML,W,W,W,W,W
W,,,,,,,,,,,,,,,,,MPTL,,,OML,W,W,W,W,W
W,,,,,,,PL,,,,,,,,,,BPTL:PT6|PT5,,,OBL,W,W,W,W,W
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
