C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
W,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,W
W,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,W
W,,,,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,W
W,M:40,PL,,W,W,W,W,W,W,W,W,W,W,M:39,,,,,,,,,,,W
W,W,W,NTL,P1,P2,P1,P3,P3,P2,P1,P1,P2,P1,P3,P3,P1,P3,P2,P1,P2,P3,NTL,P3,P1,W
W,W,W,NML,,,,,,,,TPTL,,,,,,,,,,,NML,,TPTL,W
W,W,W,NML,,,,,,,,MPTL,,,,,,,,,,,NML,,MPTL,W
W,W,W,NML,,,,,,,,MPTL,,,,,,,,,,,NML,,MPTL,W
W,W,W,NBL,,,,,,,,BPTL:PT25|PT26,,,,,,,,,,,NBL,,BPTL:PT23|PT24,W
W,W,W,W,W,W,P3,P1,P2,P1,P2,P3,P1,P3,P2,P1,P2,NTL,P1,P3,P1,P2,P1,P2,P3,W
W,W,W,W,W,W,,,,,,,,,,,,NML,,,,,,,,W
W,W,W,W,W,W,,,,,,,,,,,,NML,,,,,,,,W
W,W,W,W,W,W,,,,,,,,,,,,NML,,,,,,,,W
W,W,W,W,W,W,,,,,,,,,,,,NBL,,,,,,,,W
W,P1,P1,P2,P3,P1,NTL,P3,P2,P1,P3,P1,P2,P3,P2,P3,W,W,W,P1,P3,P3,P2,NTL,P1,W
W,,TPTL,,,,NML,,,,,,,,,,W,W,W,,,,,NML,,W
W,,MPTL,,,,NML,,,,,,,,,,W,W,W,,,,,NML,,W
W,,MPTL,,,,NML,,,,,,,,,,W,W,W,,,,,NML,,W
W,,BPTL:PT18|PT17,,,,NBL,,,,,,,,,M:37,W,W,W,,,,,NBL,,W
W,W,W,W,W,W,W,W,W,W,NTL,P3,P1,P2,P1,W,W,W,W,W,NTL,P1,P3,P1,P2,W
W,W,W,W,W,W,W,W,W,W,NML,,,,,W,W,W,W,W,NML,,,,,W
W,W,W,W,W,W,W,W,W,W,NML,,,,,W,W,W,W,W,NML,,,,,W
W,W,W,W,W,W,W,W,W,W,NML,,,,,W,W,W,W,W,NML,,,,,W
W,W,W,W,W,W,W,W,W,W,NBL,,,,,W,W,W,W,W,NBL,,,M:38,,W
W,P1,P2,P3,P1,P2,P1,P3,P1,P2,P3,P1,P2,P3,NTL,P2,P1,W,W,W,W,W,W,W,W,W
W,,,,,,,,,,,TPTL,,,NML,,,W,W,W,W,W,W,W,W,W
W,,,,,,,,,,,MPTL,,,NML,,,W,W,W,W,W,W,W,W,W
W,,,,,,,,,,,MPTL,,,NML,,,W,W,W,W,W,W,W,W,W
W,,,,,,,,M:36,,,BPTL:PT14|PT13,,,NBL,,,W,W,W,W,W,W,W,W,W
G,G,G,G,G,G,NTL+MP:1,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
